i,j,value
14,79,0.813184
14,80,0.814342
14,81,0.815174
14,82,0.815597
14,83,0.815519
14,84,0.814841
14,85,0.813459
14,86,0.811271
14,87,0.808177
14,88,0.804083
14,89,0.798909
14,90,0.792591
14,91,0.785076
14,92,0.776333
14,93,0.766342
14,94,0.755099
14,95,0.742612
14,96,0.728896
14,97,0.713972
14,98,0.697865
14,99,0.680602
15,0,0.570303
15,1,0.589043
15,2,0.607637
15,3,0.626065
15,4,0.644299
15,5,0.66231
15,6,0.680059
15,7,0.6975
15,8,0.714577
15,9,0.73122
15,10,0.747343
15,11,0.762841
15,12,0.777582
15,13,0.791407
15,14,0.804121
15,15,0.815494
15,16,0.825264
15,17,0.833149
15,18,0.838873
15,19,0.8422
15,20,0
15,21,0
15,22,0.866616
15,23,0.864281
15,24,0.860563
15,25,0.855785
15,26,0.850243
15,27,0.844194
15,28,0.837848
15,29,0.831378
15,30,0.824918
15,31,0.818572
15,32,0.812421
15,33,0.806525
15,34,0.800927
15,35,0.795658
15,36,0.790736
15,37,0.786172
15,38,0.781967
15,39,0.778115
15,40,0.774604
15,41,0.774659
15,42,0.776317
15,43,0.778331
15,44,0.78065
15,45,0.78322
15,46,0.785987
15,47,0.788892
15,48,0.791878
15,49,0.794886
15,50,0.797857
15,51,0.800735
15,52,0.803465
15,53,0.805998
15,54,0.808287
15,55,0.810291
15,56,0.811979
15,57,0.813326
15,58,0.814316
15,59,0.814944
15,60,0.815212
15,61,0.815133
15,62,0.814729
15,63,0.814029
15,64,0.813067
15,65,0.811884
15,66,0.81052
